app,keyCount,mouseCount,freq,year,month,day,hour
WeChat,0,2,0.5333333333333333,2024,09,29,00
WeChat,1,227,1.95,2024,09,29,13
WeChat,131,52,1.7666666666666666,2024,09,29,15
WeChat,0,40,0.25,2024,09,29,16
WeChat,980,138,6.65,2024,09,29,18
copytranslator,0,4,0.1666666666666666,2024,09,29,20
copytranslator,1,13,0.25,2024,09,29,22
Typora,587,298,5.15,2024,09,29,14
Typora,22,5,1.2,2024,09,29,15
Typora,1634,146,10.7,2024,09,29,16
Typora,98,7,3.25,2024,09,29,17
Typora,149,131,4.183333333333334,2024,09,29,18
Typora,1260,769,6.15,2024,09,29,19
et,1,1,0.5,2024,09,29,19
photolaunch,0,1,0.25,2024,09,29,13
wps,36,12,0.5,2024,09,29,13
wps,0,1,0.2,2024,09,29,16
wps,0,17,0.4,2024,09,29,18
wps,297,373,5.333333333333333,2024,09,29,19
wps,79,58,3.95,2024,09,29,20
wps,657,729,14.55,2024,09,29,22
wps,4,10,0.1428571428571428,2024,09,29,23
TickTick,163,36,0.8666666666666667,2024,09,29,15
SysDefault,0,20,2.7,2024,09,29,00
SysDefault,0,19,1.0095238095238095,2024,09,29,12
SysDefault,0,77,2.533333333333333,2024,09,29,13
SysDefault,0,126,4.65,2024,09,29,14
SysDefault,0,39,4.466666666666668,2024,09,29,15
SysDefault,0,88,7.283333333333331,2024,09,29,16
SysDefault,0,6,1.2499999999999998,2024,09,29,17
SysDefault,0,36,4.933333333333333,2024,09,29,18
SysDefault,0,27,4.733333333333333,2024,09,29,19
SysDefault,2,30,3.566666666666667,2024,09,29,20
SysDefault,0,47,6.833333333333332,2024,09,29,22
SysDefault,0,7,0.8928571428571428,2024,09,29,23
msedge,0,21,1.8666666666666667,2024,09,30,09
msedge,25,798,18.616666666666667,2024,09,30,10
msedge,31,202,12.533333333333331,2024,09,30,11
msedge,17,163,12.533333333333337,2024,09,30,12
msedge,21,30,1.2595238095238095,2024,09,30,16
msedge,221,80,2.8666666666666663,2024,09,30,17
msedge,329,230,7.976190476190476,2024,09,30,18
msedge,26,195,4.367857142857143,2024,09,30,19
msedge,48,355,15.650000000000002,2024,09,30,20
msedge,42,304,7.183333333333332,2024,09,30,21
msedge,73,392,9.141666666666666,2024,09,30,22
msedge,0,4,2.5,2024,09,30,23
HipsMain,0,3,0.1666666666666666,2024,09,30,09
HipsMain,0,1,0.25,2024,09,30,10
HipsTray,0,1,0.5,2024,09,30,20
OneDrive,0,3,0.45,2024,09,30,18
WeChatAppEx,2,2,0.2,2024,09,30,12
WeChatAppEx,2,2,0.2,2024,09,30,16
WeChatAppEx,0,2,0.2,2024,09,30,17
WeChatAppEx,0,2,0.3928571428571428,2024,09,30,18
WeChatAppEx,1,33,0.2916666666666666,2024,09,30,19
WeChatAppEx,1,60,0.1428571428571428,2024,09,30,21
WeChatAppEx,1,5,0.25,2024,09,30,22
Clash for Windows,0,4,0.45,2024,09,30,21
