keyTime,appPath,keyCount,mouseCount,freqType,date
2024092900,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,33,482,4.7,2024-09-29
2024092912,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,0,1,0.14285714285714285,2024-09-29
2024092913,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,79,635,6.866666666666666,2024-09-29
2024092914,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,659,423,45.483333333333334,2024-09-29
2024092915,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,346,1882,32.133333333333326,2024-09-29
2024092916,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,575,266,28.03333333333334,2024-09-29
2024092917,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,740,282,36.083333333333336,2024-09-29
2024092918,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,76,480,10.933333333333334,2024-09-29
2024092919,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,407,1254,13.116666666666667,2024-09-29
2024092920,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,1,14,4.7,2024-09-29
2024092922,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,45,227,7.499999999999998,2024-09-29
2024092923,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,0,8,0.39285714285714285,2024-09-29
2024092912,C:\Program Files\Huorong\Sysdiag\bin\HipsMain.exe,0,8,0.14285714285714285,2024-09-29
2024092816,C:\Program Files\Huorong\Sysdiag\bin\HipsTray.exe,0,1,0.2,2024-09-28
2024092917,C:\Program Files\Huorong\Sysdiag\bin\HipsTray.exe,0,2,0.5,2024-09-29
2024092912,C:\Program Files\Huorong\Sysdiag\bin\PopBlock.exe,0,5,0.30952380952380953,2024-09-29
2024092819,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.20.11781.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,1,1,0.16666666666666666,2024-09-28
2024092820,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.20.11781.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,18,51,1.5833333333333333,2024-09-28
2024092821,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.20.11781.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,12,17,0.5,2024-09-28
2024092821,C:\Users\32988\AppData\Roaming\Tencent\WeChat\XPlugin\Plugins\RadiumWMPF\11275\extracted\runtime\WeChatAppEx.exe,1,2,0.5,2024-09-28
2024092823,C:\Users\32988\AppData\Roaming\Tencent\WeChat\XPlugin\Plugins\RadiumWMPF\11275\extracted\runtime\WeChatAppEx.exe,3,28,0.5,2024-09-28
2024092900,C:\Users\32988\AppData\Roaming\Tencent\WeChat\XPlugin\Plugins\RadiumWMPF\11275\extracted\runtime\WeChatAppEx.exe,0,2,0.16666666666666666,2024-09-29
2024092920,C:\Windows\System32\ApplicationFrameHost.exe,18,47,1.2,2024-09-29
2024092922,C:\Windows\System32\ApplicationFrameHost.exe,0,18,0.4,2024-09-29
2024092913,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe,0,1,1,2024-09-29
2024092915,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe,2,0,2,2024-09-29
2024092918,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe,0,1,1,2024-09-29
2024092900,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,1,0.16666666666666666,2024-09-29
2024092912,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,1,0.2,2024-09-29
2024092920,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,0,1,0.25,2024-09-29
2024092900,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,0,1,0.16666666666666666,2024-09-29
2024092920,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,0,1,0.25,2024-09-29
2024092815,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,0,1,0.2,2024-09-28
2024092818,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,0,3,0.6666666666666666,2024-09-28
2024092820,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,0,3,0.4,2024-09-28
2024092912,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,1,1,0.14285714285714285,2024-09-29
2024092914,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,0,1,0.2,2024-09-29
2024092915,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,0,6,0.7499999999999999,2024-09-29
