keyCount,mouseCount,distance,year,month,day,hour
119,1050,295023,2024,11,02,08
729,2854,531493,2024,11,02,09
2579,3363,790245,2024,11,02,10
0,106,95786,2024,11,02,12
0,2230,2294132,2024,11,02,13
229,2080,1793529,2024,11,02,15
1398,2648,656021,2024,11,02,16
1108,3388,1429651,2024,11,02,17
77,610,379909,2024,11,02,18
551,1975,666412,2024,11,02,19
867,1866,563862,2024,11,02,20
617,1623,434886,2024,11,02,21
1712,2472,796909,2024,11,02,22
64,2619,954368,2024,11,02,23
85,1951,1098317,2024,11,03,00
0,86,58575,2024,11,03,01
493,2643,1607420,2024,11,03,09
498,2257,1088066,2024,11,03,10
1971,4035,1019006,2024,11,03,11
298,2007,387300,2024,11,03,12
658,1409,576428,2024,11,03,13
542,1920,949681,2024,11,03,14
725,2094,609872,2024,11,03,15
245,519,216248,2024,11,03,16
504,2594,736285,2024,11,03,17
767,2205,710779,2024,11,03,18
589,2386,894696,2024,11,03,19
548,3702,479694,2024,11,03,20
2639,2083,523728,2024,11,03,21
951,2543,616713,2024,11,03,22
1957,1448,876874,2024,11,03,23
0,106,70018,2024,11,04,00
31,1212,276079,2024,11,04,09
247,1034,706500,2024,11,04,10
233,321,193717,2024,11,04,11
1652,1239,690345,2024,11,04,12
19,244,138455,2024,11,04,16
1135,2486,914849,2024,11,04,17
393,1621,586099,2024,11,04,18
96,515,877387,2024,11,04,19
1970,1439,819357,2024,11,04,20
93,1935,1339627,2024,11,04,21
331,1308,564636,2024,11,04,22
1352,1938,860960,2024,11,04,23
0,33,24323,2024,11,05,00
89,2020,1475385,2024,11,05,12
0,245,166643,2024,11,05,13
380,768,184286,2024,11,05,15
2856,1745,771760,2024,11,05,16
485,724,248568,2024,11,05,17
1055,2358,536139,2024,11,05,18
1506,3313,842640,2024,11,05,19
4,22,21418,2024,11,05,20
232,1695,892098,2024,11,05,21
385,1424,977568,2024,11,05,22
4268,1508,623466,2024,11,05,23
1694,338,56613,2024,11,06,00
0,65,54182,2024,11,06,11
4779,843,298160,2024,11,06,12
2352,673,122255,2024,11,06,13
1400,2444,474114,2024,11,06,14
2923,1757,612949,2024,11,06,15
3413,2423,742887,2024,11,06,16
1167,1397,526988,2024,11,06,17
3470,3135,906988,2024,11,06,18
1679,2587,1284462,2024,11,06,19
1698,2511,1020239,2024,11,06,20
132,430,324933,2024,11,06,21
105,1848,904795,2024,11,06,22
432,2768,1008323,2024,11,06,23
157,82,37902,2024,11,07,00
3,505,335812,2024,11,07,12
0,2060,1010768,2024,11,07,13
0,144,58156,2024,11,07,14
997,4025,599899,2024,11,07,15
1559,2266,1016224,2024,11,07,16
843,1259,414117,2024,11,07,17
1241,2089,744954,2024,11,07,18
1228,2375,1215202,2024,11,07,19
2134,3141,1140095,2024,11,07,20
0,128,138578,2024,11,07,21
1863,1782,702203,2024,11,07,22
265,1610,718137,2024,11,07,23
32,67,23304,2024,11,08,00
0,1034,683751,2024,11,08,12
451,924,398671,2024,11,08,13
3129,4493,933451,2024,11,08,14
1928,3496,745108,2024,11,08,15
1122,2119,702899,2024,11,08,16
329,3162,472981,2024,11,08,17
1583,1085,401882,2024,11,08,18
906,4054,963299,2024,11,08,19
397,810,211023,2024,11,08,20
276,1840,1662714,2024,11,08,21
1344,2639,633568,2024,11,08,22
840,1475,326740,2024,11,08,23
169,1925,430732,2024,11,09,00
0,27,25343,2024,11,09,05
2332,746,415268,2024,11,09,21
896,975,297479,2024,11,09,22
27,327,252364,2024,11,09,23
0,0,1,2024,11,10,00
30,57,58617,2024,11,10,07
23,18,37912,2024,11,10,16
63,177,115828,2024,11,10,20
63,184,126905,2024,11,10,20
1,0,2559,2024,11,11,09
0,1230,630456,2024,11,11,10
0,836,368289,2024,11,11,11
2144,1603,362546,2024,11,11,12
97,283,58802,2024,11,11,13
20,684,324359,2024,11,11,16
308,1003,797764,2024,11,11,17
699,1172,757681,2024,11,11,18
2196,2260,1150567,2024,11,11,19
2029,1999,634410,2024,11,11,20
3207,2751,1132407,2024,11,11,21
1057,2049,690320,2024,11,11,22
202,2361,1336058,2024,11,11,23
