app,type,keycount,year,month,day
msedge,Key,342,2024,09,28
WindowsTerminal,Key,31,2024,09,28
WeChatAppEx,Key,4,2024,09,28
explorer,Key,9,2024,09,28
steamwebhelper,Key,463,2024,09,28
Card Shop Simulator,Key,2343,2024,09,28
devcpp,Key,5795,2024,09,28
Feishu,Key,39,2024,09,28
QQ,Key,477,2024,09,28
WeChat,Key,52,2024,09,28
copytranslator,Key,63,2024,09,28
Typora,Key,689,2024,09,28
et,Key,16,2024,09,28
wps,Key,2787,2024,09,28
SysDefault,Key,4,2024,09,28
msedge,Mouse,3747,2024,09,28
HipsTray,Mouse,1,2024,09,28
WindowsTerminal,Mouse,69,2024,09,28
WeChatAppEx,Mouse,30,2024,09,28
ShellExperienceHost,Mouse,7,2024,09,28
explorer,Mouse,167,2024,09,28
cloudmusic,Mouse,35,2024,09,28
MuMuPlayer,Mouse,635,2024,09,28
steamwebhelper,Mouse,20,2024,09,28
Card Shop Simulator,Mouse,1769,2024,09,28
devcpp,Mouse,256,2024,09,28
Feishu,Mouse,135,2024,09,28
QQ,Mouse,227,2024,09,28
WeChat,Mouse,675,2024,09,28
copytranslator,Mouse,493,2024,09,28
Typora,Mouse,118,2024,09,28
et,Mouse,7,2024,09,28
wps,Mouse,4844,2024,09,28
wpspdf,Mouse,1,2024,09,28
SysDefault,Mouse,388,2024,09,28
msedge,Key,2961,2024,09,29
ApplicationFrameHost,Key,18,2024,09,29
LockApp,Key,2,2024,09,29
ShellExperienceHost,Key,1,2024,09,29
explorer,Key,18,2024,09,29
Card Shop Simulator,Key,1616,2024,09,29
Code,Key,4118,2024,09,29
Feishu,Key,43,2024,09,29
QQ,Key,1402,2024,09,29
WeChat,Key,1112,2024,09,29
copytranslator,Key,1,2024,09,29
Typora,Key,3750,2024,09,29
et,Key,1,2024,09,29
wps,Key,1081,2024,09,29
TickTick,Key,163,2024,09,29
SysDefault,Key,2,2024,09,29
msedge,Mouse,5954,2024,09,29
HipsMain,Mouse,8,2024,09,29
HipsTray,Mouse,2,2024,09,29
PopBlock,Mouse,5,2024,09,29
WeChatAppEx,Mouse,2,2024,09,29
ApplicationFrameHost,Mouse,65,2024,09,29
LockApp,Mouse,2,2024,09,29
StartMenuExperienceHost,Mouse,3,2024,09,29
SearchHost,Mouse,2,2024,09,29
ShellExperienceHost,Mouse,11,2024,09,29
explorer,Mouse,297,2024,09,29
cloudmusic,Mouse,2,2024,09,29
MuMuPlayer,Mouse,2408,2024,09,29
steamwebhelper,Mouse,19,2024,09,29
Card Shop Simulator,Mouse,1718,2024,09,29
PgyVisitorEnt,Mouse,3,2024,09,29
Code,Mouse,1137,2024,09,29
Feishu,Mouse,79,2024,09,29
QQ,Mouse,1879,2024,09,29
WeChat,Mouse,459,2024,09,29
copytranslator,Mouse,17,2024,09,29
Typora,Mouse,1356,2024,09,29
et,Mouse,1,2024,09,29
photolaunch,Mouse,1,2024,09,29
wps,Mouse,1205,2024,09,29
TickTick,Mouse,36,2024,09,29
SysDefault,Mouse,528,2024,09,29
msedge,Key,833,2024,09,30
WeChatAppEx,Key,7,2024,09,30
ShellExperienceHost,Key,1,2024,09,30
cloudmusic,Key,1,2024,09,30
MuMuPlayer,Key,58,2024,09,30
Code,Key,1335,2024,09,30
wemeetapp,Key,8,2024,09,30
QQ,Key,212,2024,09,30
WeChat,Key,5515,2024,09,30
Typora,Key,18,2024,09,30
wps,Key,28,2024,09,30
SysDefault,Key,7,2024,09,30
msedge,Mouse,2776,2024,09,30
HipsMain,Mouse,4,2024,09,30
HipsTray,Mouse,1,2024,09,30
OneDrive,Mouse,3,2024,09,30
WeChatAppEx,Mouse,106,2024,09,30
Clash for Windows,Mouse,10,2024,09,30
ApplicationFrameHost,Mouse,132,2024,09,30
StartMenuExperienceHost,Mouse,4,2024,09,30
SearchHost,Mouse,1,2024,09,30
ShellExperienceHost,Mouse,20,2024,09,30
explorer,Mouse,175,2024,09,30
cloudmusic,Mouse,26,2024,09,30
MuMuPlayer,Mouse,830,2024,09,30
steamwebhelper,Mouse,2,2024,09,30
PgyVisitorEnt,Mouse,3,2024,09,30
Code,Mouse,5079,2024,09,30
wemeetapp,Mouse,481,2024,09,30
QQ,Mouse,495,2024,09,30
WeChat,Mouse,1563,2024,09,30
Typora,Mouse,40,2024,09,30
wps,Mouse,58,2024,09,30
SysDefault,Mouse,567,2024,09,30
msedge,Key,52,2024,10,01
ShellExperienceHost,Key,11,2024,10,01
QQ,Key,268,2024,10,01
wps,Key,3,2024,10,01
msedge,Mouse,604,2024,10,01
LockApp,Mouse,1,2024,10,01
StartMenuExperienceHost,Mouse,3,2024,10,01
ShellExperienceHost,Mouse,6,2024,10,01
explorer,Mouse,8,2024,10,01
cloudmusic,Mouse,3,2024,10,01
MuMuPlayer,Mouse,218,2024,10,01
PgyVisitorEnt,Mouse,3,2024,10,01
QQ,Mouse,301,2024,10,01
wps,Mouse,113,2024,10,01
SysDefault,Mouse,25,2024,10,01
msedge,Key,9539,2024,10,02
WindowsTerminal,Key,217,2024,10,02
WeChatAppEx,Key,1,2024,10,02
SearchHost,Key,39,2024,10,02
explorer,Key,102,2024,10,02
MuMuPlayer,Key,5,2024,10,02
Code,Key,1985,2024,10,02
Feishu,Key,5,2024,10,02
QQ,Key,1326,2024,10,02
WeChat,Key,1,2024,10,02
copytranslator,Key,30,2024,10,02
Typora,Key,1148,2024,10,02
wps,Key,72,2024,10,02
SysDefault,Key,6,2024,10,02
msedge,Mouse,11948,2024,10,02
HipsTray,Mouse,4,2024,10,02
Notepad,Mouse,1,2024,10,02
WindowsTerminal,Mouse,58,2024,10,02
WeChatAppEx,Mouse,6,2024,10,02
WeChatUpdate,Mouse,1,2024,10,02
Clash for Windows,Mouse,38,2024,10,02
x86_64,Mouse,5,2024,10,02
ApplicationFrameHost,Mouse,12,2024,10,02
Taskmgr,Mouse,17,2024,10,02
LockApp,Mouse,3,2024,10,02
StartMenuExperienceHost,Mouse,3,2024,10,02
SearchHost,Mouse,14,2024,10,02
ShellExperienceHost,Mouse,12,2024,10,02
explorer,Mouse,1026,2024,10,02
cloudmusic,Mouse,4,2024,10,02
MuMuPlayer,Mouse,2363,2024,10,02
steamwebhelper,Mouse,3,2024,10,02
PgyVisitorEnt,Mouse,5,2024,10,02
Code,Mouse,3997,2024,10,02
Feishu,Mouse,28,2024,10,02
QQ,Mouse,265,2024,10,02
WeChat,Mouse,96,2024,10,02
copytranslator,Mouse,59,2024,10,02
Typora,Mouse,670,2024,10,02
photolaunch,Mouse,1,2024,10,02
wps,Mouse,487,2024,10,02
SysDefault,Mouse,733,2024,10,02
msedge,Key,12452,2024,10,03
WeChatAppEx,Key,1,2024,10,03
ShellExperienceHost,Key,1,2024,10,03
Code,Key,97,2024,10,03
QQ,Key,1036,2024,10,03
WeChat,Key,544,2024,10,03
Typora,Key,210,2024,10,03
SysDefault,Key,13,2024,10,03
msedge,Mouse,7441,2024,10,03
HipsTray,Mouse,4,2024,10,03
OneDrive,Mouse,2,2024,10,03
WeChatAppEx,Mouse,18,2024,10,03
Clash for Windows,Mouse,6,2024,10,03
ApplicationFrameHost,Mouse,39,2024,10,03
LockApp,Mouse,2,2024,10,03
StartMenuExperienceHost,Mouse,1,2024,10,03
SearchHost,Mouse,2,2024,10,03
ShellExperienceHost,Mouse,22,2024,10,03
explorer,Mouse,114,2024,10,03
cloudmusic,Mouse,6,2024,10,03
MuMuPlayer,Mouse,4859,2024,10,03
steamwebhelper,Mouse,2,2024,10,03
Code,Mouse,180,2024,10,03
QQ,Mouse,157,2024,10,03
WeChat,Mouse,247,2024,10,03
Typora,Mouse,234,2024,10,03
SysDefault,Mouse,255,2024,10,03
msedge,Key,8858,2024,10,04
Notepad,Key,319,2024,10,04
WeChatAppEx,Key,2,2024,10,04
explorer,Key,37,2024,10,04
Code,Key,70,2024,10,04
Feishu,Key,39,2024,10,04
QQ,Key,3140,2024,10,04
WeChat,Key,658,2024,10,04
Typora,Key,1770,2024,10,04
wps,Key,1969,2024,10,04
SysDefault,Key,2,2024,10,04
msedge,Mouse,8025,2024,10,04
HipsTray,Mouse,1,2024,10,04
SnippingTool,Mouse,1,2024,10,04
Notepad,Mouse,8,2024,10,04
WeChatAppEx,Mouse,46,2024,10,04
Clash for Windows,Mouse,33,2024,10,04
LockApp,Mouse,2,2024,10,04
ShellExperienceHost,Mouse,23,2024,10,04
explorer,Mouse,188,2024,10,04
cloudmusic,Mouse,12,2024,10,04
MuMuPlayer,Mouse,1948,2024,10,04
Code,Mouse,85,2024,10,04
Feishu,Mouse,256,2024,10,04
QQ,Mouse,408,2024,10,04
WeChat,Mouse,196,2024,10,04
Typora,Mouse,546,2024,10,04
et,Mouse,7,2024,10,04
wps,Mouse,5338,2024,10,04
wpspdf,Mouse,1,2024,10,04
TickTick,Mouse,15,2024,10,04
SysDefault,Mouse,357,2024,10,04
msedge,Key,1145,2024,10,05
Notepad,Key,126,2024,10,05
WindowsTerminal,Key,445,2024,10,05
explorer,Key,112,2024,10,05
MuMuPlayer,Key,11,2024,10,05
devcpp,Key,154,2024,10,05
QQ,Key,2888,2024,10,05
copytranslator,Key,10,2024,10,05
Typora,Key,2833,2024,10,05
wps,Key,1742,2024,10,05
SysDefault,Key,25,2024,10,05
msedge,Mouse,4203,2024,10,05
Notepad,Mouse,62,2024,10,05
WindowsTerminal,Mouse,137,2024,10,05
OneDrive,Mouse,2,2024,10,05
Clash for Windows,Mouse,3,2024,10,05
Clash for Windows,Mouse,33,2024,10,05
ApplicationFrameHost,Mouse,15,2024,10,05
OpenWith,Mouse,1,2024,10,05
rundll32,Mouse,1,2024,10,05
LockApp,Mouse,2,2024,10,05
StartMenuExperienceHost,Mouse,6,2024,10,05
SearchHost,Mouse,4,2024,10,05
ShellExperienceHost,Mouse,27,2024,10,05
explorer,Mouse,856,2024,10,05
cloudmusic,Mouse,6,2024,10,05
MuMuPlayer,Mouse,2630,2024,10,05
devcpp,Mouse,248,2024,10,05
Code,Mouse,44,2024,10,05
Feishu,Mouse,47,2024,10,05
QQ,Mouse,361,2024,10,05
copytranslator,Mouse,50,2024,10,05
Typora,Mouse,536,2024,10,05
wps,Mouse,1928,2024,10,05
wpspdf,Mouse,2,2024,10,05
SysDefault,Mouse,403,2024,10,05
msedge,Key,593,2024,10,06
WeChatAppEx,Key,4,2024,10,06
ApplicationFrameHost,Key,6,2024,10,06
SearchHost,Key,26,2024,10,06
ShellExperienceHost,Key,1,2024,10,06
explorer,Key,1,2024,10,06
steamwebhelper,Key,15,2024,10,06
Shipping,Key,33459,2024,10,06
Feishu,Key,155,2024,10,06
QQ,Key,3486,2024,10,06
WeChat,Key,673,2024,10,06
wps,Key,2493,2024,10,06
SysDefault,Key,7,2024,10,06
msedge,Mouse,5179,2024,10,06
HipsMain,Mouse,74,2024,10,06
HipsTray,Mouse,4,2024,10,06
PopBlock,Mouse,2,2024,10,06
Au_,Mouse,2,2024,10,06
WeChatAppEx,Mouse,37,2024,10,06
Clash for Windows,Mouse,23,2024,10,06
ApplicationFrameHost,Mouse,5,2024,10,06
StartMenuExperienceHost,Mouse,2,2024,10,06
SearchHost,Mouse,5,2024,10,06
ShellExperienceHost,Mouse,38,2024,10,06
explorer,Mouse,324,2024,10,06
cloudmusic,Mouse,1,2024,10,06
MuMuPlayer,Mouse,1843,2024,10,06
steamwebhelper,Mouse,251,2024,10,06
Shipping,Mouse,3237,2024,10,06
Feishu,Mouse,95,2024,10,06
QQ,Mouse,1289,2024,10,06
WeChat,Mouse,86,2024,10,06
SGMyInput,Mouse,22,2024,10,06
Typora,Mouse,88,2024,10,06
et,Mouse,2,2024,10,06
wps,Mouse,4428,2024,10,06
SysDefault,Mouse,744,2024,10,06
msedge,Key,18109,2024,10,07
SnippingTool,Key,4,2024,10,07
Notepad,Key,333,2024,10,07
WindowsTerminal,Key,777,2024,10,07
SearchHost,Key,3,2024,10,07
explorer,Key,440,2024,10,07
devcpp,Key,15548,2024,10,07
QQ,Key,305,2024,10,07
WeChat,Key,158,2024,10,07
wps,Key,668,2024,10,07
mailmaster,Key,130,2024,10,07
SysDefault,Key,5,2024,10,07
msedge,Mouse,687,2024,10,07
HipsTray,Mouse,2,2024,10,07
SnippingTool,Mouse,2,2024,10,07
Notepad,Mouse,30,2024,10,07
WindowsTerminal,Mouse,76,2024,10,07
Clash for Windows,Mouse,4,2024,10,07
LockApp,Mouse,9,2024,10,07
StartMenuExperienceHost,Mouse,4,2024,10,07
SearchHost,Mouse,3,2024,10,07
ShellExperienceHost,Mouse,8,2024,10,07
explorer,Mouse,405,2024,10,07
cloudmusic,Mouse,4,2024,10,07
MuMuPlayer,Mouse,364,2024,10,07
steamwebhelper,Mouse,6,2024,10,07
PgyVisitorEnt,Mouse,5,2024,10,07
devcpp,Mouse,154,2024,10,07
QQ,Mouse,20,2024,10,07
WeChat,Mouse,5,2024,10,07
et,Mouse,3,2024,10,07
wps,Mouse,112,2024,10,07
TickTick,Mouse,7,2024,10,07
mailmaster,Mouse,64,2024,10,07
SysDefault,Mouse,313,2024,10,07
msedge,Key,1879,2024,10,08
Notepad,Key,13,2024,10,08
WindowsTerminal,Key,74,2024,10,08
WeChatAppEx,Key,1,2024,10,08
msiexec,Key,8,2024,10,08
SearchHost,Key,4,2024,10,08
explorer,Key,189,2024,10,08
Shipping,Key,706,2024,10,08
devcpp,Key,890,2024,10,08
Code,Key,3555,2024,10,08
Feishu,Key,1169,2024,10,08
QQ,Key,1021,2024,10,08
WeChat,Key,2502,2024,10,08
Typora,Key,173,2024,10,08
wps,Key,633,2024,10,08
mailmaster,Key,235,2024,10,08
SysDefault,Key,2,2024,10,08
msedge,Mouse,3417,2024,10,08
SnippingTool,Mouse,2,2024,10,08
Notepad,Mouse,18,2024,10,08
WindowsTerminal,Mouse,80,2024,10,08
WeChatAppEx,Mouse,3,2024,10,08
Clash for Windows,Mouse,3,2024,10,08
powershell,Mouse,1,2024,10,08
ApplicationFrameHost,Mouse,2,2024,10,08
msiexec,Mouse,29,2024,10,08
LockApp,Mouse,2,2024,10,08
StartMenuExperienceHost,Mouse,4,2024,10,08
ShellExperienceHost,Mouse,16,2024,10,08
explorer,Mouse,1088,2024,10,08
cloudmusic,Mouse,138,2024,10,08
MuMuPlayer,Mouse,3346,2024,10,08
steamwebhelper,Mouse,41,2024,10,08
Shipping,Mouse,138,2024,10,08
PgyVisitorEnt,Mouse,7,2024,10,08
devcpp,Mouse,340,2024,10,08
Code,Mouse,1430,2024,10,08
Feishu,Mouse,186,2024,10,08
QQ,Mouse,404,2024,10,08
WeChat,Mouse,960,2024,10,08
Typora,Mouse,87,2024,10,08
et,Mouse,1,2024,10,08
photolaunch,Mouse,24,2024,10,08
wps,Mouse,1318,2024,10,08
mailmaster,Mouse,55,2024,10,08
SysDefault,Mouse,797,2024,10,08
msedge,Key,1970,2024,10,09
Notepad,Key,1295,2024,10,09
WindowsTerminal,Key,162,2024,10,09
WeChatAppEx,Key,4,2024,10,09
explorer,Key,233,2024,10,09
MuMuPlayer,Key,76,2024,10,09
Shipping,Key,9258,2024,10,09
devcpp,Key,272,2024,10,09
Code,Key,8729,2024,10,09
Feishu,Key,551,2024,10,09
QQ,Key,11885,2024,10,09
WeChat,Key,998,2024,10,09
Typora,Key,98,2024,10,09
wps,Key,1492,2024,10,09
mailmaster,Key,55,2024,10,09
SysDefault,Key,18,2024,10,09
msedge,Mouse,5658,2024,10,09
HipsTray,Mouse,2,2024,10,09
Notepad,Mouse,122,2024,10,09
WindowsTerminal,Mouse,70,2024,10,09
OneDrive,Mouse,2,2024,10,09
x64),Mouse,1,2024,10,09
x64),Mouse,1,2024,10,09
x64),Mouse,1,2024,10,09
����AI������5,Mouse,1,2024,10,09
20240927172929),Mouse,1,2024,10,09
WeChatAppEx,Mouse,56,2024,10,09
ApplicationFrameHost,Mouse,127,2024,10,09
OpenWith,Mouse,1,2024,10,09
StartMenuExperienceHost,Mouse,4,2024,10,09
ShellExperienceHost,Mouse,26,2024,10,09
explorer,Mouse,716,2024,10,09
cloudmusic,Mouse,114,2024,10,09
MuMuPlayer,Mouse,2941,2024,10,09
steamwebhelper,Mouse,4,2024,10,09
Shipping,Mouse,1132,2024,10,09
PgyVisitorEnt,Mouse,6,2024,10,09
devcpp,Mouse,495,2024,10,09
Code,Mouse,932,2024,10,09
Feishu,Mouse,149,2024,10,09
QQ,Mouse,4233,2024,10,09
WeChat,Mouse,447,2024,10,09
Typora,Mouse,194,2024,10,09
wps,Mouse,472,2024,10,09
QuarkCloudDrive,Mouse,47,2024,10,09
mailmaster,Mouse,74,2024,10,09
SysDefault,Mouse,1121,2024,10,09
msedge,Key,881,2024,10,10
Notepad,Key,93,2024,10,10
WindowsTerminal,Key,118,2024,10,10
WeChatAppEx,Key,2,2024,10,10
explorer,Key,67,2024,10,10
cloudmusic,Key,10,2024,10,10
MuMuPlayer,Key,1,2024,10,10
steamwebhelper,Key,50,2024,10,10
Shipping,Key,13610,2024,10,10
devcpp,Key,7313,2024,10,10
Feishu,Key,12,2024,10,10
QQ,Key,3300,2024,10,10
WeChat,Key,883,2024,10,10
wps,Key,480,2024,10,10
client,Key,4,2024,10,10
SysDefault,Key,55,2024,10,10
msedge,Mouse,8141,2024,10,10
HipsTray,Mouse,3,2024,10,10
Notepad,Mouse,23,2024,10,10
WindowsTerminal,Mouse,124,2024,10,10
WeChatAppEx,Mouse,17,2024,10,10
Clash for Windows,Mouse,12,2024,10,10
rundll32,Mouse,2,2024,10,10
StartMenuExperienceHost,Mouse,1,2024,10,10
ShellExperienceHost,Mouse,11,2024,10,10
explorer,Mouse,212,2024,10,10
cloudmusic,Mouse,24,2024,10,10
MuMuPlayer,Mouse,1177,2024,10,10
steamwebhelper,Mouse,18,2024,10,10
Shipping,Mouse,1427,2024,10,10
PgyVisitorEnt,Mouse,1,2024,10,10
devcpp,Mouse,560,2024,10,10
Feishu,Mouse,56,2024,10,10
QQ,Mouse,2043,2024,10,10
WeChat,Mouse,520,2024,10,10
wps,Mouse,983,2024,10,10
wpspdf,Mouse,2,2024,10,10
QuarkCloudDrive,Mouse,7,2024,10,10
client,Mouse,3,2024,10,10
client,Mouse,5,2024,10,10
SysDefault,Mouse,472,2024,10,10
msedge,Key,5724,2024,10,11
Notepad,Key,2927,2024,10,11
WindowsTerminal,Key,981,2024,10,11
WeChatAppEx,Key,10,2024,10,11
ApplicationFrameHost,Key,1,2024,10,11
ShellExperienceHost,Key,1,2024,10,11
explorer,Key,63,2024,10,11
steamwebhelper,Key,887,2024,10,11
Shipping,Key,6946,2024,10,11
devcpp,Key,1690,2024,10,11
Code,Key,6194,2024,10,11
QQ,Key,2111,2024,10,11
WeChat,Key,780,2024,10,11
wps,Key,18,2024,10,11
SysDefault,Key,2,2024,10,11
msedge,Mouse,9052,2024,10,11
HipsMain,Mouse,11,2024,10,11
HipsTray,Mouse,2,2024,10,11
SnippingTool,Mouse,1,2024,10,11
Notepad,Mouse,1,2024,10,11
Notepad,Mouse,25,2024,10,11
WindowsTerminal,Mouse,83,2024,10,11
OneDrive,Mouse,1,2024,10,11
WeChatAppEx,Mouse,151,2024,10,11
Clash for Windows,Mouse,4,2024,10,11
ApplicationFrameHost,Mouse,62,2024,10,11
LockApp,Mouse,19,2024,10,11
StartMenuExperienceHost,Mouse,3,2024,10,11
SearchHost,Mouse,1,2024,10,11
ShellExperienceHost,Mouse,17,2024,10,11
explorer,Mouse,479,2024,10,11
cloudmusic,Mouse,3,2024,10,11
